cycle,avgPayoff
0,3.0000
1,2.9510
2,2.9439
3,2.9693
4,2.9450
5,2.9374
6,2.9404
7,2.9413
8,2.9267
9,2.9590
10,2.9700
11,2.9390
12,2.9610
13,2.9383
14,2.8876
15,2.9040
16,2.9493
17,2.9306
18,2.9339
19,2.9483
20,2.9650
21,2.9226
22,2.9430
23,2.9238
24,2.9101
25,2.9367
26,2.9383
27,2.9610
28,2.9753
29,2.9437
30,2.9360
31,2.9244
32,2.9420
33,2.9202
34,2.9600
35,2.9317
36,2.9099
37,2.9009
38,2.9007
39,2.9030
40,2.9750
41,2.9355
42,2.9373
43,2.9300
44,2.9213
45,2.9152
46,2.8761
47,2.9793
48,2.9220
49,2.9560
50,2.8883
51,2.9565
52,2.9457
53,2.9226
54,2.9293
55,2.9344
56,2.9120
57,2.9108
58,2.9530
59,2.8364
60,2.9800
61,2.9333
62,2.8787
63,2.9783
64,2.9430
65,2.9310
66,2.9037
67,2.8334
68,2.8653
69,2.9301
70,2.8819
71,2.9234
72,2.8409
73,2.9233
74,2.8343
75,2.8430
76,2.9110
77,2.9157
78,2.8533
79,2.8727
80,2.8667
81,2.8205
82,2.8915
83,2.9070
84,2.8631
85,2.8411
86,2.8162
87,2.8456
88,2.8603
89,2.7947
90,2.8783
91,2.7733
92,2.8140
93,2.7884
94,2.8390
95,2.8252
96,2.7817
97,2.7756
98,2.8068
99,2.8313
100,2.8190
101,2.7279
102,2.8733
103,2.8797
104,2.8117
105,2.7791
106,2.8220
107,2.7306
108,2.7097
109,2.8337
110,2.8133
111,2.7587
112,2.8255
113,2.7517
114,2.8180
115,2.6800
116,2.8587
117,2.8308
118,2.8347
119,2.8500
120,2.8057
121,2.7686
122,2.8743
123,2.7980
124,2.8108
125,2.7977
126,2.7968
127,2.7976
128,2.7486
129,2.7622
130,2.6656
131,2.7580
132,2.7400
133,2.7293
134,2.7397
135,2.7589
136,2.7305
137,2.8115
138,2.7813
139,2.8003
140,2.8597
